Subject,Number,Course_Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,avg_gpa
CMN,362,Folklore as Communication,1,20,12,21,19,6,9,4,7,0,0,0,2,0,3.09
CMN,368,Sexual Communication,113,1436,282,236,1206,137,117,388,57,47,130,21,85,20,3.12
CMN,370,Political Economy of Comm,4,11,15,10,1,1,0,0,0,0,0,0,2,0,3.5
CMN,375,American Gangster Films,1,78,46,59,52,29,26,17,4,8,7,0,3,1,3.12
CMN,375,American SciFi-Homeland Attack,0,47,33,66,41,31,35,20,10,9,9,1,3,0,2.93
CMN,375,Hitchcock in America,0,64,39,60,42,25,37,18,7,13,3,0,11,0,2.97
CMN,375,Movies That Started Genres,0,40,30,51,53,45,31,15,19,18,4,0,8,2,2.79
CMN,375,Popular Media and Culture,1,289,208,249,150,96,86,52,30,20,13,1,17,5,3.17
CMN,375,The American Family,0,26,15,12,7,6,1,1,1,0,1,0,1,0,3.42
CMN,377,Propaganda and Modern Society,6,92,44,56,53,27,21,23,6,2,2,0,4,2,3.2
CMN,377,Public Relations & Propaganda,1,5,10,10,2,1,1,2,1,0,0,0,0,0,3.35
CMN,396,Commmunicating for Innovation,0,10,17,17,12,3,3,6,1,0,1,0,0,0,3.21
CMN,396,Communicating for Innovation,2,5,3,8,6,1,2,0,0,0,1,0,0,0,3.29
CMN,396,Current Trends in Mass Comm,5,9,7,5,8,7,1,7,2,2,3,1,3,0,2.78
CMN,396,Leadership Comm Theory/Pract,0,45,12,8,0,0,0,3,0,0,1,0,1,1,3.63
CMN,396,Media & Youth Culture,4,2,0,3,5,4,0,3,1,0,1,0,0,0,2.97
CMN,396,Media and Health,1,9,10,11,18,4,3,4,0,0,0,0,2,0,3.11
CMN,396,Media and Youth Culture,8,26,27,12,10,10,6,0,4,4,3,1,5,0,3.11
CMN,396,Org Comm & Diversity,6,18,24,32,27,23,16,9,7,3,4,1,2,1,2.94
CMN,396,Performing Rhetoric,3,10,5,1,5,1,3,2,0,0,1,0,1,0,3.23
CMN,396,Personal Relationships & Tech,5,37,12,7,13,6,1,3,0,1,1,0,1,1,3.42
CMN,396,Personal Relationships & Techn,1,5,4,2,10,3,1,2,1,0,0,0,1,0,3.04
CMN,396,Personal Relationships &Techno,4,9,2,2,2,3,2,1,0,0,0,0,2,0,3.21
CMN,396,Photography & Public Life,0,8,7,6,3,2,0,0,0,1,0,0,0,0,3.46
CMN,396,"Race, Class, Gender & Work",1,11,11,20,15,11,9,8,3,2,0,0,2,0,2.95
CMN,396,Relationships & Tech,4,7,10,9,11,5,4,3,3,2,0,0,0,0,3.1
CMN,396,Rhetoric of Theatre,5,16,7,7,15,7,3,12,5,2,2,0,4,0,2.83
CMN,396,Social Movement Comm,0,4,5,7,10,4,0,0,0,0,1,0,2,1,2.92
CMN,396,Social Movement Communication,0,9,23,13,41,9,3,8,3,1,2,0,6,1,2.87
CMN,396,Social Movements Comm,0,5,5,3,8,3,0,0,2,0,1,0,2,1,2.82
CMN,396,Special Topics in Comm,40,128,93,52,42,35,28,30,15,7,3,6,4,3,3.24
CMN,396,VIsual Media Effects,0,11,4,3,19,10,5,9,2,3,1,0,0,0,2.84
CMN,396,Visual Media Effects,0,2,6,5,13,6,2,0,0,0,0,0,0,0,3.13
CMN,396,War Rhetoric in Theatre & Film,1,2,4,3,7,6,3,5,0,0,0,2,0,0,2.79
CMN,396,eHealth Communication,17,11,11,9,4,3,4,3,2,0,0,0,1,0,3.4
CMN,410,Workplace Comm Technology,6,81,48,27,31,9,6,2,0,1,1,1,1,0,3.51
CMN,411,Organizational Comm Assessment,22,91,46,25,46,14,9,9,2,1,0,0,1,3,3.43
CMN,412,Adv Organizational Comm,2,80,71,35,62,28,5,9,7,1,1,0,4,3,3.28
CMN,413,Adv Small Group Communication,1,19,8,0,1,0,0,0,0,0,0,0,0,0,3.87
CMN,415,Classical Rhetorics,0,11,3,4,2,1,1,1,0,0,0,0,0,0,3.54
CMN,416,Early Modern Rhetorics,0,15,10,9,14,6,8,2,1,0,0,0,5,0,2.99
CMN,421,Persuasion Theory & Research,8,76,35,28,64,30,16,25,5,5,1,3,5,0,3.11
CMN,423,Rhetorical Criticism,0,22,8,5,1,4,1,2,1,0,0,0,0,1,3.46
CMN,424,Campaigning to Win,0,6,3,3,5,3,0,0,0,0,1,0,0,0,3.29
CMN,427,Children and the Media,2,8,7,9,11,6,5,3,4,7,2,4,0,0,2.69
CMN,428,Media and the Human Body,0,11,8,6,15,6,4,7,6,5,2,2,0,0,2.75
CMN,429,Race and the Mass Media,23,99,74,96,70,78,59,52,25,18,15,6,8,5,2.9
CMN,432,Gender and Language,0,130,23,16,2,1,2,0,0,0,0,0,0,0,3.86
CMN,435,Adv Interpersonal Comm,47,208,139,74,76,20,10,8,6,3,7,2,5,1,3.5
CMN,437,Comm in Personal Relationships,9,2,2,2,1,1,2,3,1,0,0,0,0,1,3.17
CMN,450,Adv Topics in Public Discourse,0,24,6,2,10,4,2,1,0,0,1,2,1,0,3.29
CMN,462,Interpersonal Health Comm,2,87,44,32,33,33,23,18,4,3,0,2,2,0,3.22
CMN,463,Organizational Health Comm,4,186,92,59,60,38,14,23,11,1,0,0,3,0,3.41
CMN,464,Health Communication Campaigns,9,40,35,23,33,11,3,2,2,0,0,0,0,2,3.4
CMN,465,Social Marketing Health&Behav,0,126,124,68,31,7,1,1,0,1,2,0,1,0,3.6
CMN,476,Commercialism and the Public,3,62,47,33,29,6,6,1,1,0,1,0,1,0,3.49
CMN,496,Adv Topics in Communication,24,244,118,103,86,49,34,43,13,9,10,3,18,6,3.22
CMN,496,Argumentation Design &Analysis,4,14,5,2,12,2,0,2,2,0,0,0,3,0,3.17
CMN,496,Argumentation Theory & Evaluat,7,11,9,5,25,3,2,7,2,1,3,0,0,0,3.08
CMN,496,Comm Tech & Altruism,0,17,0,5,0,0,1,0,0,0,0,0,0,0,3.78
CMN,496,Communication & Culture,0,29,4,2,3,4,1,2,1,0,0,0,0,0,3.59
CMN,496,"Culture, Industry & Econ Crisi",0,3,5,5,8,6,2,2,1,0,0,0,0,0,3.04
CMN,496,CultureIndustry & Econ Crisis,0,12,1,2,1,3,0,3,3,0,0,0,0,0,3.21
CMN,496,Gender and Performance,1,4,1,6,3,1,1,5,1,0,0,0,0,1,2.89
CMN,496,Hlth Cpgns Making a Difference,0,10,6,1,4,0,0,0,0,0,0,0,0,0,3.68
CMN,496,Language & Cognition,2,10,5,3,8,0,0,1,0,0,1,0,1,0,3.33
CMN,496,Language & Pragmatics,2,7,3,1,7,1,0,2,1,1,1,0,0,0,3.15
CMN,496,Nonprofit Comm Management,0,7,8,7,2,1,1,0,0,0,1,0,0,0,3.43
CMN,496,Risk Communication,0,2,2,1,7,3,2,3,1,0,1,0,2,0,2.54
CMN,496,Unintended Effects of Communic,0,7,8,2,5,2,1,0,1,0,0,0,0,0,3.4
CMN,502,Health Comm Research Methods I,0,19,1,0,1,0,0,0,0,0,0,0,0,0,3.94
CMN,503,Health Comm Research MethodsII,3,9,5,4,0,0,1,0,0,0,0,0,0,0,3.73
CMN,504,Health & Family Communication,3,16,0,1,1,0,0,0,0,0,0,0,0,0,3.92
CMN,506,Health Informatics,18,4,0,2,0,0,0,0,0,0,0,0,0,0,3.94
CMN,529,Concepts in Comm Study,0,22,0,0,0,0,0,0,0,0,0,0,2,0,3.67
CPSC,112,Introduction to Crop Sciences,72,330,102,123,276,81,68,107,43,29,20,13,17,2,3.08
CPSC,113,"Environment, Agric, & Society",38,202,60,98,143,8,18,29,11,1,1,0,5,2,3.37
CPSC,116,The Global Food Production Web,0,1126,0,0,193,1,0,12,0,0,2,0,1,2,3.82
CPSC,117,Agric. & Science of Coffee,6,29,21,2,3,3,0,0,0,0,0,0,0,0,3.76
CPSC,131,Agriculture in Mythology,225,676,0,60,156,13,14,51,0,0,29,13,31,6,3.52
CPSC,213,Evolution in Action,194,852,42,24,410,18,5,194,63,6,49,6,97,13,3.17
CPSC,215,The Prairie and Bioenergy,9,20,21,13,27,10,3,6,8,0,4,4,11,1,2.8
CPSC,226,Introduction to Weed Science,19,120,4,25,174,8,3,102,7,2,17,2,5,2,2.94
CPSC,241,Intro to Applied Statistics,11,47,22,14,44,17,9,35,11,4,15,5,14,0,2.7
CPSC,261,Biotechnology in Agriculture,4,98,0,2,86,0,0,23,0,0,2,0,2,1,3.31
CPSC,265,Genetic Engineering Lab,3,30,5,3,2,0,0,0,0,0,0,0,0,0,3.87
CPSC,270,Applied Entomology,34,80,46,26,45,35,31,31,13,2,5,2,4,3,3.09
CPSC,336,Tomorrow's Environment,13,93,1,51,89,2,7,13,8,1,0,0,1,0,3.32
CPSC,352,Plant Genetics,9,56,4,4,40,4,2,16,2,0,5,0,3,1,3.18
CPSC,352,Plant and Animal Genetics,2,61,3,3,52,5,4,29,2,0,8,0,1,1,3.05
CPSC,412,Principles of Crop Advising,26,76,9,18,32,6,3,6,0,0,2,0,0,0,3.56
CPSC,414,Forage Crops & Pasture Ecology,86,43,0,28,16,0,6,2,0,0,0,0,0,0,3.73
CPSC,418,Crop Growth and Management,222,127,0,60,20,0,16,6,0,4,3,0,3,0,3.72
CPSC,419,Midwest Agricultural Practices,0,52,3,0,2,0,0,0,0,0,0,0,1,0,3.88
CPSC,426,Weed Mgt in Agronomic Crops,0,121,0,0,82,0,0,13,0,0,1,0,0,0,3.49
CPSC,431,Plants and Global Change,5,31,31,22,26,9,7,3,3,1,1,0,0,2,3.28
CPSC,437,Principles of Agroecology,29,36,0,16,4,0,3,1,0,0,0,0,0,0,3.76
CPSC,440,Applied Statistical Methods I,74,601,293,154,312,147,73,106,48,22,35,18,51,24,3.14
CPSC,452,Advanced Plant Genetics,1,25,6,7,8,1,1,0,0,0,0,0,0,0,3.64
CPSC,452,Evol Genetics and Genomics,25,108,14,14,10,6,0,0,0,0,0,0,0,0,3.82
CPSC,452,Genetics of Higher Organisms,5,12,4,1,0,0,0,0,0,0,0,0,0,0,3.91
CPSC,453,Principles of Plant Breeding,9,41,9,9,21,5,1,3,1,0,0,0,0,1,3.49
CPSC,454,Plant Breeding Methods,0,24,0,0,2,0,0,0,0,0,0,0,0,0,3.92
CPSC,466,Genomics for Plant Improvement,6,89,0,0,16,0,0,6,0,0,1,0,1,1,3.68
CPSC,484,Plant Physiology,5,9,4,1,7,4,0,0,0,0,0,0,0,0,3.52
CPSC,498,Crop Sci Professional Develpmt,0,187,6,2,5,2,0,0,0,0,0,0,0,0,3.95
CPSC,498,Undergrad Crop Sci Seminar,0,111,0,2,1,0,0,0,0,0,0,0,0,0,3.98
CPSC,499,App. Multivariate Statistics,0,32,0,0,0,0,1,0,0,0,0,0,0,0,3.95
CPSC,518,Crop Growth and Development,3,11,9,5,3,1,0,0,0,0,0,0,0,0,3.67
CPSC,541,Regression Analysis,5,95,15,10,55,3,0,7,0,0,2,0,2,0,3.49
CPSC,542,Applied Statistical Methods II,12,72,33,27,51,20,6,11,1,3,0,1,3,0,3.32
CPSC,543,Appl. Multivariate Statistics,0,63,0,13,1,0,0,0,0,0,0,0,0,1,3.82
CPSC,563,Chromosomes,4,14,2,2,0,0,0,0,0,0,0,0,0,0,3.91
CPSC,564,Molecular Marker Data Analyses,5,17,16,6,7,1,0,0,0,0,0,0,0,1,3.59
CPSC,565,Perl & UNIX for Bioinformatics,3,13,3,1,2,0,0,0,0,0,0,0,0,0,3.83
CPSC,588,Plant Biochemistry,4,19,6,7,7,0,1,0,0,0,0,0,0,0,3.65
CPSC,593,Soil Fert in Cropping Systems,2,51,0,0,8,0,0,2,0,0,0,0,0,0,3.81
CS,100,Freshman Orientation,0,1931,16,34,134,11,11,81,3,2,28,4,64,6,3.68
CS,101,Intro Computing: Engrg & Sci,1853,1827,1129,955,953,659,474,441,261,192,170,99,266,47,3.17
CS,105,Intro Computing: Non-Tech,1508,2400,1698,1214,1454,700,500,483,243,129,145,47,153,42,3.27
CS,125,Intro to Computer Science,1141,1901,869,588,591,325,359,367,202,30,104,35,186,56,3.26
CS,126,Software Design Studio,62,93,76,60,39,24,17,11,9,3,1,1,10,2,3.34
CS,173,Discrete Structures,364,1000,851,857,875,576,453,435,265,184,182,110,151,46,2.91
CS,196,Freshman Honors,309,857,192,85,48,18,15,15,9,0,7,0,25,16,3.72
CS,199,De-Bug your Brain,0,22,1,0,0,0,0,0,0,0,0,0,1,1,3.67
CS,199,Undergraduate Open Seminar,3,284,16,3,22,1,0,16,0,0,5,0,9,1,3.67
CS,210,Ethical & Professional Issues,178,1047,255,193,243,39,28,66,8,3,18,7,19,5,3.58
CS,225,Data Structures,418,2378,910,586,1113,401,356,642,154,51,453,33,380,79,2.99
CS,231,Computer Architecture I,32,181,27,40,187,37,35,158,23,5,64,1,30,4,2.73
CS,232,Computer Architecture II,62,146,70,63,186,33,35,56,13,2,17,1,7,7,3.12
CS,233,Computer Architecture,65,618,84,92,472,54,43,234,25,11,106,20,118,19,2.88
CS,241,System Programming,226,411,293,329,383,270,193,260,169,132,179,84,221,30,2.59
CS,242,Programming Studio,197,784,560,368,199,105,80,68,16,23,19,4,29,15,3.44
CS,296,Honors Course,100,547,69,43,54,16,3,29,3,1,4,0,23,7,3.63
CS,357,Numerical Methods I,248,843,431,417,479,255,254,254,136,81,102,40,77,12,3.04
CS,361,Prob & Stat for Computer Sci,24,57,26,19,12,7,5,3,3,0,3,1,5,0,3.42
CS,373,Theory of Computation,99,323,165,131,179,142,113,150,103,34,26,16,21,5,2.96
CS,374,Intro to Algs & Models of Comp,41,137,88,115,140,137,164,123,104,88,32,16,28,1,2.61
CS,398,Computer Architecture,44,187,64,44,293,31,28,131,8,4,57,5,45,5,2.83
CS,410,Text Information Systems,297,510,88,53,61,29,3,8,1,0,2,1,4,3,3.79
CS,411,Database Systems,206,611,508,374,477,279,120,118,82,29,19,28,32,4,3.21
CS,412,Introduction to Data Mining,163,422,363,187,193,154,61,57,47,7,14,4,55,15,3.24
CS,414,Multimedia Systems,6,29,13,7,23,9,3,10,2,0,3,0,0,0,3.21
CS,418,Interactive Computer Graphics,118,576,290,220,217,145,66,79,24,4,57,3,42,11,3.25
CS,419,Production Computer Graphics,11,23,14,16,7,3,3,4,0,0,2,0,4,0,3.3
CS,420,Parallel Progrmg: Sci & Engrg,35,92,46,58,57,42,19,14,9,2,4,2,0,2,3.27
CS,421,Progrmg Languages & Compilers,293,796,234,211,297,123,119,173,67,18,54,19,48,22,3.22
CS,422,Programming Language Design,8,9,2,0,0,3,0,0,0,0,0,0,0,0,3.79
CS,423,Operating Systems Design,121,209,91,88,119,43,23,23,8,0,8,2,1,3,3.44
CS,424,Real-Time Systems,15,53,42,31,25,9,6,5,1,0,2,0,0,0,3.47
CS,425,Distributed Systems,141,295,404,321,298,185,70,58,28,19,9,10,31,17,3.21
CS,426,Compiler Construction,8,29,17,13,13,10,2,7,0,0,1,0,3,1,3.26
CS,427,Software Engineering I,88,290,232,237,155,70,48,23,10,7,4,0,9,4,3.39
CS,428,Software Engineering II,22,53,47,23,29,20,3,0,1,0,0,0,1,0,3.51
CS,429,"Software Engineering II, ACP",58,112,132,91,102,57,14,15,2,0,1,0,1,1,3.4
CS,431,Embedded Systems,74,131,66,140,155,73,23,113,9,3,36,0,15,2,3.0
CS,433,Computer System Organization,48,128,74,76,103,33,15,22,7,2,5,1,8,3,3.29
CS,438,Communication Networks,56,241,122,85,157,68,45,78,22,12,23,18,68,10,2.91
CS,440,Artificial Intelligence,254,628,117,93,605,97,54,274,29,18,86,18,37,18,3.09
CS,445,Computational Photography,21,75,21,12,15,8,7,4,0,1,1,0,2,0,3.56
CS,446,Machine Learning,83,242,183,227,121,58,17,18,5,6,9,3,28,8,3.32
CS,447,Natural Language Processing,42,53,31,21,14,14,6,4,3,0,0,0,1,1,3.53
CS,450,Numerical Analysis,65,364,228,217,245,137,99,83,60,12,21,19,30,16,3.08
CS,457,Numerical Methods II,1,8,0,0,2,0,3,2,6,0,0,0,2,0,2.62
CS,460,Security Laboratory,9,293,38,23,21,4,7,14,4,2,3,2,11,4,3.58
CS,461,Computer Security I,110,423,184,185,503,107,113,199,37,3,58,2,25,8,3.07
CS,463,Computer Security II,0,96,0,0,83,0,0,30,0,0,3,0,1,1,3.25
CS,465,User Interface Design,27,245,270,209,449,152,79,83,25,3,13,0,9,3,3.15
CS,466,Introduction to Bioinformatics,25,87,43,42,49,20,8,11,4,0,2,0,4,0,3.37
CS,467,Social Visualization,29,129,76,30,22,4,1,4,1,0,0,0,3,0,3.68
CS,473,Algorithms,5,8,11,12,11,10,10,16,9,4,4,7,3,1,2.49
CS,473,Fundamental Algorithms,31,122,142,168,161,172,157,159,91,54,39,33,23,9,2.65
CS,484,Parallel Programming,13,41,16,11,38,11,5,21,6,2,6,0,0,1,3.08
CS,492,Senior Project I,26,142,185,74,77,28,19,0,2,1,0,0,1,1,3.51
CS,493,"Senior Project II, ACP",49,141,87,45,28,10,3,2,1,1,1,0,5,0,3.63
CS,494,Senior Project II,8,15,11,6,7,0,3,0,0,0,0,0,0,0,3.61
CS,498,Algorithms and Models of Comp,54,136,147,104,128,157,104,109,75,82,46,23,11,6,2.71
CS,498,Applied Machine Learning,17,146,120,78,8,0,0,3,0,0,0,0,3,1,3.68
CS,498,Art and Science of Web Prog,10,38,24,28,26,17,27,3,2,0,3,0,0,2,3.18
CS,498,Art and Science of Web Progrm,0,22,6,1,3,1,0,0,3,0,0,0,0,0,3.61
CS,498,Cloud Computing,25,57,29,22,17,14,7,4,2,0,1,0,0,0,3.51
CS,498,Cloud Computing Applications,18,19,10,3,1,0,0,0,0,0,0,0,0,0,3.88
CS,498,Computational Photography,16,13,12,4,3,3,0,0,1,0,0,1,0,2,3.5
CS,498,Digital Forensics,5,75,28,16,21,3,2,0,0,0,0,0,2,0,3.63
CS,498,Intro to Data Science,11,9,15,3,0,0,0,0,0,0,0,0,0,0,3.82
CS,498,Intro to Parallel Programming,0,6,0,4,7,0,2,7,1,0,1,2,0,0,2.7
CS,498,Mobile Interaction Design,3,17,11,5,6,1,0,0,1,0,0,0,0,0,3.62
CS,498,Probability in CS,17,57,28,32,28,18,4,5,4,2,2,0,9,1,3.23
CS,498,Probability in Computer Sci,13,24,22,25,19,18,14,2,3,0,2,0,8,2,3.03
CS,498,Social & Information Networks,5,26,9,3,3,6,3,3,2,0,0,0,0,0,3.47
CS,498,Socio-Computer Interaction,0,8,6,5,7,9,1,0,0,0,1,0,0,0,3.22
CS,498,Software Testing,15,7,6,7,9,8,1,0,0,0,0,0,0,0,3.47
CS,498,Special Topics,18,47,23,13,23,3,0,4,0,0,2,0,0,0,3.57
CS,498,The Art of Web Programming,9,59,40,46,41,28,13,8,13,1,2,0,0,1,3.22
CS,498,Theory II,19,59,58,53,57,42,34,22,13,5,2,1,7,3,3.04
CS,498,Using Tech to Solve Adv Probs,0,11,5,2,3,0,1,0,0,0,0,0,0,0,3.65
CS,498,Virtual Reality,71,361,160,82,98,19,1,9,1,0,0,0,1,1,3.67
CS,510,Advanced Information Retrieval,16,40,15,8,8,0,0,0,0,0,0,0,0,0,3.79
CS,511,Advanced Data Management,12,36,45,9,9,6,2,0,1,0,0,0,1,0,3.61
CS,512,Data Mining Principles,49,170,73,19,13,4,5,4,2,0,1,0,1,1,3.74
CS,519,Scientific Visualization,9,66,24,16,10,0,0,1,0,0,0,0,2,2,3.64
CS,523,Advanced Operating Systems,11,18,22,11,1,0,0,0,0,0,0,0,1,0,3.69
CS,525,Advanced Distributed Systems,37,76,116,57,5,1,0,0,0,0,0,0,0,0,3.72
CS,527,Adv Topics in Software Eng,6,9,8,3,0,0,0,0,0,0,0,0,0,0,3.82
CS,527,Topics in Software Engineering,35,52,25,19,11,6,0,0,0,0,0,0,1,2,3.66
CS,528,Obj-Oriented Progrmg & Design,2,55,0,2,22,2,0,2,2,0,0,0,0,0,3.6
CS,533,Parallel Computer Architecture,28,67,13,16,37,1,0,3,0,0,0,0,0,0,3.64
CS,538,Advanced Computer Networks,5,67,5,7,1,2,1,0,0,0,0,0,0,1,3.82
CS,544,Optimiz in Computer Vision,0,29,0,2,0,0,0,0,0,0,0,0,0,0,3.96
CS,546,Machine Learning in NLP,2,51,12,9,8,3,1,0,0,0,0,0,0,0,3.72
CS,548,Models of Cognitive Processes,1,25,5,15,19,2,3,0,0,0,1,0,0,0,3.42
CS,554,Parallel Numerical Algorithms,19,39,45,27,4,9,0,0,0,0,0,0,0,2,3.61
CS,555,Numerical Methods for PDEs,3,121,24,16,5,10,0,1,1,0,0,0,1,1,3.73
CS,556,Iterative & Multigrid Methods,0,15,5,2,1,2,0,0,1,0,1,0,0,0,3.56
CS,563,Advanced Computer Security,0,24,0,0,1,0,0,1,0,0,0,0,0,1,3.74
CS,565,Human-Computer Interaction,4,57,25,11,9,2,0,4,0,0,0,0,1,0,3.65
CS,573,Algorithms,8,49,45,43,25,15,1,0,0,0,0,0,0,3,3.46
CS,574,Randomized Algorithms,0,3,10,3,5,2,0,0,0,0,0,0,0,1,3.29
CS,598,Adv Social&Information Network,12,7,2,3,0,0,0,0,0,0,0,0,0,0,3.89
CS,598,Advanced Bayesian Modeling,8,20,5,9,5,2,0,1,0,0,0,0,0,0,3.65
CS,598,Advanced Data Structures,0,14,9,6,0,0,0,0,0,0,0,0,0,0,3.76
CS,598,Advanced Information Retrieval,25,99,24,9,5,1,0,0,0,0,0,0,0,0,3.88
CS,598,Autonomous Vehicles for AI,0,26,0,0,0,0,0,1,0,0,0,0,0,0,3.93
CS,598,Cutting-Edge Trends In DLR,12,27,11,6,3,0,0,0,0,0,0,0,0,0,3.82
CS,598,Data-Driven Design,4,18,7,10,3,1,0,0,0,0,0,0,0,0,3.69
CS,598,Graphical Models,3,19,1,0,0,0,0,0,0,0,1,0,0,1,3.71
CS,598,Improving Your Research Skills,9,12,4,3,0,0,0,0,0,0,0,0,0,0,3.88
CS,598,Mach Lrng for Signal Processng,40,122,42,8,3,6,1,1,0,0,0,0,3,1,3.78
CS,598,Machine Learning Theory,2,13,5,0,2,0,0,0,0,0,0,0,0,0,3.83
CS,598,Machine Lrning Computation Bio,5,13,2,1,0,0,0,0,0,0,0,0,0,0,3.94
CS,598,Object-Oriented Prog & Design,3,22,0,0,5,0,0,0,0,0,0,0,0,0,3.83
CS,598,Parallel Programming,1,11,4,2,3,2,0,0,0,0,0,0,0,0,3.64
CS,598,Secure Processor Design,3,19,2,1,0,0,0,0,0,0,0,0,0,0,3.95
CS,598,Social Sensing,7,11,4,2,0,0,0,0,0,0,0,0,0,0,3.89
CS,598,Special Topics,20,36,15,5,14,11,0,0,0,0,0,0,0,0,3.63
CS,598,Topic in Algorithms,3,8,7,1,5,0,0,0,0,0,0,0,0,0,3.67
CW,100,Intro to Creative Writing,3,54,31,26,13,10,2,1,1,0,0,0,1,0,3.54
CW,243,Inter Expository Writing,10,31,8,3,4,2,2,1,1,0,0,0,3,1,3.47
CWL,114,Global Consciousness and Lit,113,123,95,62,66,43,18,26,15,5,7,5,12,3,3.28
CWL,151,Cross-Cultural Thematics,1,50,9,1,0,0,0,0,0,0,0,0,1,0,3.88
CWL,151,Dystopian Fiction,3,21,10,7,4,0,1,1,0,0,0,0,0,0,3.67
CWL,151,From Hollywood to Bollywood,0,19,4,0,1,0,0,1,0,0,0,0,2,0,3.54
CWL,189,Lit of Asia & Africa I,1,27,10,11,9,4,2,1,0,0,0,0,1,0,3.48
CWL,190,Lit of Asia & Africa II,0,5,3,7,3,2,0,2,1,0,1,0,0,0,3.14
CWL,207,Indian Cinema in Context,29,722,63,16,21,6,0,5,0,0,1,2,8,3,3.86
CWL,208,Lits & Cultures of South Asia,11,12,4,0,2,1,0,0,0,0,0,0,0,0,3.84
CWL,241,Lit Europe & the Americas I,6,69,24,15,6,4,2,1,1,0,1,0,2,1,3.61
CWL,242,Lit Europe and the Americas II,16,12,11,9,5,3,3,1,2,0,0,0,4,1,3.25
CWL,242,Modern Masterpieces West Cultr,0,6,11,3,1,1,1,0,0,1,1,0,2,0,3.14
CWL,450,Topics in Bodies and Genders,0,13,1,6,2,0,0,0,0,0,0,0,0,0,3.71
DANC,100,Intro to Contemporary Dance,432,1014,242,95,86,47,21,27,9,5,2,6,17,10,3.73
DANC,101,Contact Improvisation I,5,9,5,5,2,0,0,0,0,0,0,0,0,1,3.59
DANC,101,Making Dances,9,12,0,0,0,0,0,0,0,0,0,0,1,0,3.82
DANC,101,Modern Dance I,55,116,23,11,7,6,0,3,1,0,0,1,3,1,3.75
DANC,102,Modern Dance II,11,10,3,1,1,0,0,0,0,0,0,0,0,1,3.75
DANC,105,Hip Hop,31,37,8,9,3,0,1,0,0,0,0,1,1,0,3.77
DANC,105,Hip Hop I,2,20,1,2,1,0,0,0,0,0,0,0,0,0,3.9
DANC,105,Jazz 1,4,26,0,0,1,0,0,0,0,0,0,0,0,0,3.97
DANC,105,Jazz Dance I,110,126,30,9,9,2,3,4,1,1,2,1,4,1,3.75
DANC,106,Hip Hop II,26,2,3,2,0,0,0,0,0,0,0,0,0,0,3.93
DANC,106,Jazz Dance II,46,50,8,1,5,3,1,0,0,1,0,0,2,2,3.73
DANC,107,Ballet I,117,145,32,19,15,5,0,6,1,0,2,0,3,0,3.78
DANC,109,Ballet III,9,20,11,2,1,1,0,0,0,0,0,0,1,2,3.59
DANC,112,Hip Hop,40,94,58,12,15,6,1,1,2,0,1,0,1,0,3.72
DANC,120,Tap Dance I,17,47,14,6,9,2,0,1,0,1,1,0,0,0,3.71
DANC,121,Tap Dance II,1,15,3,2,0,0,0,0,0,0,0,0,0,0,3.89
DANC,131,Production Practicum I,0,20,0,0,0,0,0,1,0,0,0,0,0,0,3.9
DANC,150,Orientation to Dance,3,34,8,2,0,0,0,0,0,0,0,0,1,0,3.83
DANC,160,Beg Contemp Modern Tech Core,1,29,22,12,9,9,2,1,4,2,1,3,5,0,3.11
DANC,160,Beginning Modern Tech Core,3,19,9,4,7,7,2,0,0,0,1,0,1,0,3.39
DANC,162,Improvisation I,3,3,10,4,0,1,0,0,0,0,0,0,0,0,3.65
DANC,166,Beginning Ballet Tech Core,0,11,9,0,0,0,0,0,0,0,0,0,1,0,3.67
DANC,167,Beginning Ballet Tech Elect,0,4,5,0,5,2,1,0,1,1,1,0,1,0,2.9
DANC,175,Production in Dance,5,9,2,1,3,0,0,2,0,0,0,0,0,0,3.62
DANC,200,Explore Music through Dance,9,25,3,2,3,2,0,1,0,1,1,0,2,2,3.38
DANC,240,Dance History,0,20,1,0,1,0,0,0,0,0,0,0,0,0,3.94
DANC,260,Int Contemp Modern Tech Core,2,35,24,16,10,5,2,0,0,0,0,0,1,1,3.51
DANC,260,Intermediate Modern Tech Core,0,16,8,5,9,3,1,1,0,0,0,0,1,0,3.39
DANC,261,Contact for Act/Danc/Musc,3,1,11,4,2,0,0,0,2,0,0,0,1,0,3.29
DANC,266,Intermediate Ballet Tech Core,4,69,44,30,11,7,3,6,0,0,2,0,2,1,3.5
DANC,268,Music Theory for Dancers,11,7,1,2,2,0,0,2,1,0,0,0,0,0,3.62
DANC,301,Yoga Practicum for Dancers,1,110,33,7,14,4,4,0,0,2,2,1,2,3,3.58
DANC,310,Ballroom,3,15,5,4,1,2,3,0,0,0,0,0,0,0,3.61
DANC,310,Ballroom Dance,3,21,1,3,0,0,1,0,0,0,0,0,0,0,3.86
DANC,310,Brazilian Rhythms,15,3,1,2,1,0,3,0,0,0,0,1,0,0,3.58
DANC,310,Hip Hop,16,4,2,0,2,0,2,2,2,0,0,0,0,0,3.51
DANC,340,Dancing Black Popular Cult,3,13,22,20,15,3,1,2,2,1,0,0,0,2,3.28
DANC,340,Dancing Black Popular Culture,2,8,8,6,7,8,4,3,0,0,0,0,2,1,3.0
